"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 10 17:30:26 MSK 2023","Sun Sep 10 17:30:26 MSK 2023","6","tests.3 test_spaces","test_spaces","","","","DELETE /spaces/space_id/columns/column_id",""
"passed","Sun Sep 10 17:30:14 MSK 2023","Sun Sep 10 17:30:14 MSK 2023","6","tests.2 test_login","test_invalid_login","","","","test_invalid_login_with_unregistred_emails[example@example.com]",""
"failed","Sun Sep 10 17:31:13 MSK 2023","Sun Sep 10 17:31:13 MSK 2023","9","tests.4 test_projects","test_projects","","","","PATCH /projects/project_id/changeTimelineViewType",""
"failed","Sun Sep 10 17:30:57 MSK 2023","Sun Sep 10 17:30:57 MSK 2023","7","tests.4 test_projects","test_projects","","","","PATCH /projects/project_id/stages/stage_id",""
"failed","Sun Sep 10 17:30:34 MSK 2023","Sun Sep 10 17:30:34 MSK 2023","39","tests.3 test_spaces","test_spaces","","","","POST /spaces/space_id/reglament-columns",""
"failed","Sun Sep 10 17:31:15 MSK 2023","Sun Sep 10 17:31:15 MSK 2023","64","tests.5 test_tasks","test_tasks","","","","POST /tasks",""
"passed","Sun Sep 10 17:30:08 MSK 2023","Sun Sep 10 17:30:08 MSK 2023","3","tests.1 test_registration","test_invalid_registration","","","","POST /auth/register",""
"passed","Sun Sep 10 17:31:07 MSK 2023","Sun Sep 10 17:31:07 MSK 2023","51","tests.4 test_projects","test_projects","","","","GET /projects/project_id/storageTasks/page",""
"passed","Sun Sep 10 17:31:00 MSK 2023","Sun Sep 10 17:31:00 MSK 2023","44","tests.4 test_projects","test_projects","","","","PATCH /projects/project_id/stages/stage_id/limit",""
"passed","Sun Sep 10 17:30:16 MSK 2023","Sun Sep 10 17:30:16 MSK 2023","65","tests.3 test_spaces","test_spaces","","","","POST /spaces",""
"failed","Sun Sep 10 17:31:14 MSK 2023","Sun Sep 10 17:31:14 MSK 2023","10","tests.5 test_tasks","test_tasks","","","","POST /tasks",""
"failed","Sun Sep 10 17:31:01 MSK 2023","Sun Sep 10 17:31:01 MSK 2023","47","tests.4 test_projects","test_projects","","","","PATCH /projects/project_id/stages/stage_id/limit",""
"failed","Sun Sep 10 17:30:45 MSK 2023","Sun Sep 10 17:30:45 MSK 2023","8","tests.3 test_spaces","test_spaces","","","","DELETE /spaces/space_id/invite/remove",""
"failed","Sun Sep 10 17:31:08 MSK 2023","Sun Sep 10 17:31:08 MSK 2023","7","tests.4 test_projects","test_projects","","","","POST /projects/project_id/embed",""
"passed","Sun Sep 10 17:30:45 MSK 2023","Sun Sep 10 17:30:46 MSK 2023","36","tests.3 test_spaces","test_spaces","","","","DELETE /spaces/space_id/invite/remove",""
"failed","Sun Sep 10 17:30:57 MSK 2023","Sun Sep 10 17:30:57 MSK 2023","8","tests.4 test_projects","test_projects","","","","PATCH /projects/project_id/stages/stage_id",""
